#  it lists all the configuration for HyCal modules
#  type 0 -> lead-glass, type 1 -> lead-tungstate
#  geometry and tdc can also be calculated in the program
#  id  crate  slot  chan   TDC      type  size       x       y  HV crate  slot  chan
   W65     6    11    20     6         1  20.5  276.75 -317.75         1    12     5
   W64     6    11    21     6         1  20.5  256.25 -317.75         1    12    31
   W63     6    11    22     6         1  20.5  235.75 -317.75         1    12    48
   W62     6    11    23     5         1  20.5  215.25 -317.75         1    12    43
   W61     6    11    24     5         1  20.5  194.75 -317.75         1    12    38
   W60     6    11    25     5         1  20.5  174.25 -317.75         1    12    33
   W31     6    11    26     6         1  20.5  276.75 -338.25         1    12    28
   W30     6    11    27     6         1  20.5  256.25 -338.25         1    12    23
   W29     6    11    28     6         1  20.5  235.75 -338.25         1    12    18
   W28     6    11    29     5         1  20.5  215.25 -338.25         1    12    13
   W27     6    11    30     5         1  20.5  194.75 -338.25         1    12     8
   W26     6    11    31     5         1  20.5  174.25 -338.25         1    12     3
  W642     6    11    32    24         1  20.5  256.25   30.75         1    14    21
  W639     6    11    33    23         1  20.5  194.75   30.75         1    14     6
  W640     6    11    34    23         1  20.5  215.25   30.75         1    14    11
  W609     6    11    35    24         1  20.5  276.75   10.25         1    14    46
  W638     6    11    36    23         1  20.5  174.25   30.75         1    14     1
  W607     6    11    37    24         1  20.5  235.75   10.25         1    14    39
  W608     6    11    38    24         1  20.5  256.25   10.25         1    14    44
  W742     6    11    41    23         1  20.5  215.25   92.25         2     0    20
  W711     6    11    42    24         1  20.5  276.75   71.75         2     0     5
  W740     6    11    43    23         1  20.5  174.25   92.25         2     0    10
  W709     6    11    44    24         1  20.5  235.75   71.75         2     0    48
  W710     6    11    45    24         1  20.5  256.25   71.75         2     0    31
  W707     6    11    46    23         1  20.5  194.75   71.75         2     0    38
  W708     6    11    47    23         1  20.5  215.25   71.75         2     0    43
  W677     6    11    48    24         1  20.5  276.75   51.25         2     0    28
  W706     6    11    49    23         1  20.5  174.25   71.75         2     0    33
  W675     6    11    50    24         1  20.5  235.75   51.25         2     0    18
  W676     6    11    51    24         1  20.5  256.25   51.25         2     0    23
  W673     6    11    52    23         1  20.5  194.75   51.25         2     0     8
  W674     6    11    53    23         1  20.5  215.25   51.25         2     0    13
  W643     6    11    54    24         1  20.5  276.75   30.75         1    14    26
  W672     6    11    55    23         1  20.5  174.25   51.25         2     0     3
  W641     6    11    56    24         1  20.5  235.75   30.75         1    14    16
  W232     6     9     0    11         1  20.5  215.25 -215.25         1    12    34
  W231     6     9     1    11         1  20.5  194.75 -215.25         1    12    29
  W230     6     9     2    11         1  20.5  174.25 -215.25         1    12    24
  W201     6     9     3     6         1  20.5  276.75 -235.75         1    12    19
  W200     6     9     4     6         1  20.5  256.25 -235.75         1    12    14
  W199     6     9     5     6         1  20.5  235.75 -235.75         1    12     9
  W198     6     9     6     5         1  20.5  215.25 -235.75         1    12     4
  W434     6     9     9    17         1  20.5  174.25  -92.25         1    14    33
  W402     6     9    10    11         1  20.5  215.25 -112.75         1    14    28
  W401     6     9    11    11         1  20.5  194.75 -112.75         1    14    23
